tanggal,magnitudo_forecast,kedalaman_forecast,provinsi_forecast
2023-07-08,4.48012,131.16203,Sulawesi Tengah
2023-07-09,5.087646,92.066,Gorontalo
2023-07-10,4.3831816,170.96667,Bali
2023-07-11,4.2676773,85.27908,Maluku
2023-07-12,4.5851464,136.17917,Maluku
2023-07-13,4.5161867,200.53021,Nusa Tenggara Timur
2023-07-14,4.762964,35.904137,Sumatra Barat
2023-07-15,4.39408,389.64972,Sulawesi Utara
2023-07-16,4.288204,267.6844,Sulawesi Utara
2023-07-17,4.266995,19.755775,Maluku
2023-07-18,4.5345497,124.33619,Sulawesi Utara
2023-07-19,3.7740738,61.33032,Nusa Tenggara Timur
2023-07-20,4.6042256,-34.981358,Sulawesi Utara
2023-07-21,4.9348106,132.26617,Sulawesi Utara
2023-07-22,3.5696402,57.601868,Jawa Timur
2023-07-23,4.400164,108.60282,Maluku Utara
2023-07-24,4.237696,-67.86922,Papua
2023-07-25,4.667673,168.77133,Nusa Tenggara Timur
2023-07-26,4.0730486,66.863144,Nusa Tenggara Timur
2023-07-27,4.4292984,-25.906872,Maluku Utara
2023-07-28,4.7173805,106.2243,Maluku Utara
2023-07-29,4.699107,94.332756,Maluku Utara
2023-07-30,4.1938887,-12.933445,Maluku
2023-07-31,4.7187924,138.71309,Maluku
2023-08-01,4.1631036,5.502262,Maluku
2023-08-02,4.5031548,119.24095,Sumatra Selatan
2023-08-03,4.4852433,31.441452,Banten
2023-08-04,4.813779,110.91307,Maluku
2023-08-05,5.141417,-26.194225,Papua
2023-08-06,4.6829476,81.061516,Maluku
2023-08-07,3.844582,33.606773,Aceh
2023-08-08,4.8487806,225.18155,Maluku
2023-08-09,5.0138626,63.609398,Maluku Utara
2023-08-10,4.5431004,19.416443,Maluku Utara
2023-08-11,3.9234164,113.07126,Maluku Utara
2023-08-12,4.864245,-40.70209,Maluku Utara
2023-08-13,4.889372,219.71796,Maluku Utara
2023-08-14,4.2432156,215.05609,Nusa Tenggara Timur
2023-08-15,4.9081435,-142.55055,Bengkulu
2023-08-16,5.10683,-116.40723,Aceh
2023-08-17,4.6984153,164.69011,Maluku
2023-08-18,3.9995565,-13.137402,Maluku
2023-08-19,3.779133,-6.823841,Sumatra Utara
2023-08-20,5.3125663,162.5449,Gorontalo
2023-08-21,4.336352,297.4692,Nusa Tenggara Timur
2023-08-22,4.700882,-115.16432,Aceh
2023-08-23,4.8088107,-17.086903,Sulawesi Tengah
2023-08-24,4.144972,138.60902,Maluku
2023-08-25,4.8279405,59.90312,Aceh
2023-08-26,5.210612,111.19735,Gorontalo
2023-08-27,4.6535373,190.62563,Gorontalo
2023-08-28,4.757348,108.370834,Papua Barat
2023-08-29,4.475561,79.0318,Sulawesi Tengah
2023-08-30,4.8183618,-61.18764,Maluku Utara
2023-08-31,4.404453,100.045456,Maluku Utara
2023-09-01,3.8286614,395.34848,Nusa Tenggara Timur
2023-09-02,4.5525384,39.73352,Maluku Utara
2023-09-03,4.849377,111.34341,Gorontalo
2023-09-04,3.7877588,246.00179,Maluku Utara
2023-09-05,4.138308,123.86901,Sumatra Utara
2023-09-06,4.6690755,31.031433,Nusa Tenggara Timur
2023-09-07,4.6829963,139.78656,Gorontalo
2023-09-08,4.465938,80.301994,Maluku Utara
2023-09-09,5.3040786,-39.25278,Papua
2023-09-10,4.2893434,53.618988,Sulawesi Utara
2023-09-11,4.5005484,-32.88136,Maluku Utara
2023-09-12,5.1615086,80.78586,Bengkulu
2023-09-13,3.3628447,-8.130856,Bengkulu
2023-09-14,4.147793,11.809986,Papua
2023-09-15,3.459784,-8.424549,Papua Barat
2023-09-16,3.9833186,118.15111,Papua
2023-09-17,5.1943393,-8.835339,Papua
2023-09-18,3.836877,131.49117,Maluku Utara
2023-09-19,4.772821,-15.5532875,Maluku Utara
2023-09-20,4.18352,121.97187,Maluku Utara
2023-09-21,4.7766857,114.40087,Maluku Utara
2023-09-22,4.7991104,83.26189,Maluku Utara
2023-09-23,4.5978603,33.020073,Sulawesi Utara
2023-09-24,4.78569,-0.5954245,Maluku Utara
2023-09-25,3.7324572,165.94151,Maluku Utara
2023-09-26,4.4808464,10.691929,Maluku Utara
2023-09-27,4.682245,112.612686,Maluku Utara
