date,kedalaman,magnitudo,kelas
2023-07-07,40.059,4.2,dangkal
2023-07-07,20.125,4.9,dangkal
2023-07-06,124.939,5.3,menengah
2023-07-06,10,4.6,dangkal
2023-07-05,10,5.1,dangkal
2023-07-04,144.008,4.1,menengah
2023-07-03,10,4.5,dangkal
2023-07-03,10,4.7,dangkal
2023-07-03,12.993,5.4,dangkal
2023-07-02,18.578,4.2,dangkal
2023-07-02,10,4.7,dangkal
2023-07-02,14.72,4.6,dangkal
2023-07-02,17.755,4.4,dangkal
2023-07-02,19.819,5.1,dangkal
2023-07-02,10.653,4.5,dangkal
2023-07-02,10,4.7,dangkal
2023-07-01,12.061,4.8,dangkal
2023-06-30,85.747,5.8,menengah
2023-06-30,10,4.9,dangkal
2023-06-30,107.724,4.6,menengah
2023-06-29,43.738,4.7,dangkal
2023-06-28,101.653,4.5,menengah
2023-06-27,133.046,4.9,menengah
2023-06-27,107.688,4.3,menengah
2023-06-27,22.505,4.4,dangkal
2023-06-26,173.594,4.4,menengah
2023-06-26,85.898,5.2,menengah
2023-06-26,65.641,4.8,dangkal
2023-06-26,89.478,4.2,menengah
2023-06-25,47.793,4.5,dangkal
2023-06-25,233.85,4.3,menengah
2023-06-24,152.187,4.3,menengah
2023-06-24,122.883,4.4,menengah
2023-06-24,163.193,4.6,menengah
2023-06-23,81.699,4.4,menengah
2023-06-23,120.514,4.6,menengah
2023-06-23,26.373,4.2,dangkal
2023-06-23,28.14,4.8,dangkal
2023-06-22,35,4.4,dangkal
2023-06-22,53.7,4.6,dangkal
2023-06-20,22.438,5.5,dangkal
2023-06-20,20.121,4.7,dangkal
2023-06-19,90.831,5.2,menengah
2023-06-19,9.013,4.2,dangkal
2023-06-19,60.603,4.6,dangkal
2023-06-19,54.723,4.8,dangkal
2023-06-17,55.789,4.6,dangkal
2023-06-17,180.922,4.4,menengah
2023-06-17,80.875,4.3,menengah
2023-06-17,61.051,4.3,dangkal
2023-06-16,166.229,4.3,menengah
2023-06-16,205.82,4.4,menengah
2023-06-16,159.596,4.4,menengah
2023-06-16,197.735,4,menengah
2023-06-15,540.432,4.1,dalam
2023-06-15,58.528,4.3,dangkal
2023-06-15,35,4.6,dangkal
2023-06-15,26.563,4.1,dangkal
2023-06-14,603.494,4.4,dalam
2023-06-14,37.227,4.5,dangkal
2023-06-14,10,4.3,dangkal
2023-06-12,10,4,dangkal
2023-06-12,101.47,4.2,menengah
2023-06-12,90.697,4.5,menengah
2023-06-11,112.523,4,menengah
2023-06-11,57.238,4.4,dangkal
2023-06-11,399.7,4.3,dalam
2023-06-11,42.782,5.2,dangkal
2023-06-11,33.357,4.8,dangkal
2023-06-11,153.835,4.8,menengah
2023-06-10,153.319,4.5,menengah
2023-06-10,78.3,4.6,menengah
2023-06-10,10,4.1,dangkal
2023-06-10,181.565,4,menengah
2023-06-09,10,4.6,dangkal
2023-06-09,10,4.6,dangkal
2023-06-09,100.834,4.5,menengah
2023-06-09,10,4.9,dangkal
2023-06-09,10,4.7,dangkal
2023-06-08,548.301,4.3,dalam
2023-06-08,84.844,4.3,menengah
2023-06-07,55.933,4.3,dangkal
2023-06-07,10.365,4.7,dangkal
2023-06-07,125.327,4.2,menengah
2023-06-07,64.966,4.3,dangkal
2023-06-07,30.766,5.6,dangkal
2023-06-07,28.685,4.6,dangkal
2023-06-07,25.719,4.2,dangkal
2023-06-07,35,4,dangkal
2023-06-07,71.582,4.3,menengah
2023-06-07,216.427,4.2,menengah
2023-06-06,10,4.5,dangkal
2023-06-06,34.244,4.7,dangkal
2023-06-06,55.528,4.8,dangkal
2023-06-05,10,4.2,dangkal
2023-06-05,10,4.4,dangkal
2023-06-05,37.761,4.7,dangkal
2023-06-05,53.373,4.4,dangkal
2023-06-04,212.306,4,menengah
2023-06-04,104.227,4.9,menengah
2023-06-04,53.146,4.3,dangkal
2023-06-04,33.343,4,dangkal
2023-06-04,562.607,4.3,dalam
2023-06-04,31.072,4.4,dangkal
2023-06-04,52.249,5.1,dangkal
2023-06-04,114.921,5.2,menengah
2023-06-03,62.89,4.1,dangkal
2023-06-03,133.431,4.7,menengah
2023-06-03,10,4.3,dangkal
2023-06-02,71.842,4.3,menengah
2023-06-02,157.081,4.9,menengah
2023-06-01,48.194,4.2,dangkal
2023-05-31,258.863,4,menengah
2023-05-31,117.6,5.2,menengah
2023-05-31,31.319,4,dangkal
2023-05-31,282.435,4.2,menengah
2023-05-31,21.087,5.1,dangkal
2023-05-30,184.158,4.2,menengah
2023-05-30,42.226,4.1,dangkal
2023-05-29,145.614,4.3,menengah
2023-05-29,146.223,4.3,menengah
2023-05-29,10.065,4.2,dangkal
2023-05-28,520.37,4.2,dalam
2023-05-28,40.924,4.3,dangkal
2023-05-27,156.111,4.9,menengah
2023-05-27,91.868,4.2,menengah
2023-05-26,21.852,4.4,dangkal
2023-05-25,25.721,4.7,dangkal
2023-05-25,278.59,4.4,menengah
2023-05-25,10,4.7,dangkal
2023-05-25,10,4.1,dangkal
2023-05-25,10,4.4,dangkal
2023-05-25,10,4.6,dangkal
2023-05-24,58.527,4.2,dangkal
2023-05-24,80.203,4.6,menengah
2023-05-24,18.68,4.1,dangkal
2023-05-24,48.939,4.4,dangkal
2023-05-24,158,6.2,menengah
2023-05-24,329.214,4.1,dalam
2023-05-24,63.706,4.2,dangkal
2023-05-24,20.522,4.4,dangkal
2023-05-24,156.695,4.4,menengah
2023-05-23,283.287,4.2,menengah
