"Duration","Amplitude","Type"
"66.12","3","ROCKFALL"
"55.72","3","ROCKFALL"
"139.8","11","ROCKFALL"
"100","18","ROCKFALL"
"6.36","3","MP"
"4.96","3","MP"
"53.28","4","ROCKFALL"
"21.84","4","ROCKFALL"
"49.24","21","ROCKFALL"
"47.64","23","ROCKFALL"
"78.4","6","ROCKFALL"
"73","6","ROCKFALL"
"60.88","7","ROCKFALL"
"47.36","4","ROCKFALL"
"32.4","5","ROCKFALL"
"92.16","11","ROCKFALL"
"74.72","9","ROCKFALL"
"71.96","5","ROCKFALL"
"18.84","4","ROCKFALL"
"61.72","4","ROCKFALL"
"18.4","4","ROCKFALL"
"70.2","4","ROCKFALL"
"70.4","7","ROCKFALL"
"101.76","13","ROCKFALL"
"6.52","3","MP"
"24.52","4","ROCKFALL"
"73.12","8","ROCKFALL"
"54.48","5","ROCKFALL"
"32.76","4","ROCKFALL"
"7.2","5","MP"
"105.2","16","ROCKFALL"
"56","9","ROCKFALL"
"141.44","7","ROCKFALL"
"72.64","3","ROCKFALL"
"49.28","3","ROCKFALL"
"6.88","3","MP"
"10.44","4","MP"
"94.08","7","ROCKFALL"
"69.12","3","ROCKFALL"
"8","3","MP"
"76.48","3","ROCKFALL"
"","","AUTO"
"68.8","22","ROCKFALL"
"115.84","15","ROCKFALL"
"71.36","5","ROCKFALL"
"45.76","5","ROCKFALL"
"55.04","3","ROCKFALL"
"81.4","6","ROCKFALL"
"91.2","16","ROCKFALL"
"82.56","3","ROCKFALL"
"100.48","3","ROCKFALL"
"6.28","3","MP"
"73.2","3","ROCKFALL"
"101.6","5","ROCKFALL"
"92.12","3","ROCKFALL"
"54.6","3","ROCKFALL"
"6.28","3","MP"
"71.68","5","ROCKFALL"
"88","6","ROCKFALL"
"78.72","8","ROCKFALL"
"60.12","3","ROCKFALL"
"84","13","ROCKFALL"
"21.04","3","ROCKFALL"
"9.04","4","MP"
"78.08","4","ROCKFALL"
"58.68","6","ROCKFALL"
"74.56","3","ROCKFALL"
"119.6","8","ROCKFALL"
"27.64","8","ROCKFALL"
"90.68","7","ROCKFALL"
"7.04","4","MP"
"129.44","11","ROCKFALL"
"95.8","16","ROCKFALL"
"96.6","5","ROCKFALL"
"115.12","10","ROCKFALL"
"57.48","3","ROCKFALL"
"87.24","10","ROCKFALL"
"89","20","ROCKFALL"
"92.04","22","ROCKFALL"
"49.12","4","ROCKFALL"
"75.6","3","ROCKFALL"
"84.92","3","ROCKFALL"
"67.72","4","ROCKFALL"
"26.8","8","ROCKFALL"
"76.92","7","ROCKFALL"
"93.88","9","ROCKFALL"
"101.12","20","ROCKFALL"
"6.36","5","MP"
"101.24","18","ROCKFALL"
"6.6","7","MP"
"8.56","4","MP"
"105.24","12","ROCKFALL"
"13.44","STRONG","VTB"
"9.2","45","VTB"
"6.32","4","MP"
"148.48","5","ROCKFALL"
"67.84","4","ROCKFALL"
"77.76","4","ROCKFALL"
"85.12","14","ROCKFALL"
"7.28","3","MP"
"82.88","3","ROCKFALL"
"80.64","3","ROCKFALL"
"18.24","6","ROCKFALL"
"53.44","4","ROCKFALL"
"101.76","14","ROCKFALL"
"108.8","12","ROCKFALL"
"92.48","4","ROCKFALL"
"47.04","3","ROCKFALL"
"76.48","7","ROCKFALL"
"79.12","27","ROCKFALL"
"96.76","3","ROCKFALL"
"116.48","5","ROCKFALL"
"77.56","4","ROCKFALL"
"85.96","5","ROCKFALL"
"8.48","3","LF"
"22.92","4","ROCKFALL"
"83.84","4","ROCKFALL"
"83.04","7","ROCKFALL"
"88.2","4","ROCKFALL"
"104.12","8","ROCKFALL"
"110.52","17","ROCKFALL"
"94.96","7","ROCKFALL"
"43.84","5","ROCKFALL"
"134.4","19","ROCKFALL"
"93.48","13","ROCKFALL"
"138.2","22","ROCKFALL"
"67.36","10","ROCKFALL"
"86.24","3","ROCKFALL"
"136.92","13","ROCKFALL"
"74.24","6","ROCKFALL"
"11.2","4","LF"
"64.96","4","ROCKFALL"
"8.64","5","LF"
"66.6","5","ROCKFALL"
"70.92","13","ROCKFALL"
"122.4","29","ROCKFALL"
"80.96","8","ROCKFALL"
"74.56","8","ROCKFALL"
"40.32","4","ROCKFALL"
"90.56","4","ROCKFALL"
"108.8","8","ROCKFALL"
"113.72","16","ROCKFALL"
"58.88","4","ROCKFALL"
"74.24","8","ROCKFALL"
"91.2","3","ROCKFALL"
"80","4","ROCKFALL"
"79.68","8","ROCKFALL"
"75.2","3","ROCKFALL"
"91.56","3","ROCKFALL"
"103.08","3","ROCKFALL"
"136.32","14","ROCKFALL"
"110.4","17","ROCKFALL"
"138.72","16","ROCKFALL"
"102.08","6","ROCKFALL"
"94.76","14","ROCKFALL"
"115.72","9","ROCKFALL"
"90.72","10","ROCKFALL"
"79.76","3","ROCKFALL"
"147.12","5","ROCKFALL"
"127.16","6","ROCKFALL"
"106.72","13","ROCKFALL"
"130","4","ROCKFALL"
"73.48","8","ROCKFALL"
"116.44","5","ROCKFALL"
"96.92","4","ROCKFALL"
"101.8","19","ROCKFALL"
"71.6","7","ROCKFALL"
"98.44","18","ROCKFALL"
"88.2","7","ROCKFALL"
"153.16","30","ROCKFALL"
"104.88","8","ROCKFALL"
"116.8","14","ROCKFALL"
"85.96","9","ROCKFALL"
"51.6","4","ROCKFALL"
"121","4","ROCKFALL"
"98.96","6","ROCKFALL"
"99.48","9","ROCKFALL"
"42.76","4","ROCKFALL"
"137.08","21","ROCKFALL"
"73.76","16","ROCKFALL"
"121.12","5","ROCKFALL"
"112.04","16","ROCKFALL"
"55.68","4","ROCKFALL"
"138.04","4","ROCKFALL"
"131.52","11","ROCKFALL"
"96.64","12","ROCKFALL"
"98.04","4","ROCKFALL"
"63.28","6","ROCKFALL"
"113.32","15","ROCKFALL"
"122.48","21","ROCKFALL"
"79.84","8","ROCKFALL"
"107","4","ROCKFALL"
"97","11","ROCKFALL"
"133.96","30","ROCKFALL"
"86.48","13","ROCKFALL"
"131.36","16","ROCKFALL"
"50.88","6","ROCKFALL"
"80.2","21","ROCKFALL"
"98.72","7","ROCKFALL"
"80.28","14","ROCKFALL"
"126.84","17","ROCKFALL"
"94.2","5","ROCKFALL"
"96.32","5","ROCKFALL"
"172.12","31","ROCKFALL"
"7.2","5","MP"
"161.76","7","ROCKFALL"
"132.64","25","ROCKFALL"
"113.16","10","ROCKFALL"
"122.88","13","ROCKFALL"
"101.44","17","ROCKFALL"
"96.68","4","ROCKFALL"
"76.8","8","ROCKFALL"
"73.92","7","ROCKFALL"
"52.16","4","ROCKFALL"
"92.48","3","ROCKFALL"
"97.92","8","ROCKFALL"
"83.84","6","ROCKFALL"
"63.36","4","ROCKFALL"
"96","3","ROCKFALL"
"138.36","10","ROCKFALL"
"85.88","5","ROCKFALL"
"110.08","7","ROCKFALL"
"141.68","15","ROCKFALL"
"112.36","7","ROCKFALL"
"67.2","10","ROCKFALL"
"100.8","11","ROCKFALL"
"79.36","4","ROCKFALL"
"8.08","3","MP"
"103.36","5","ROCKFALL"
"93.64","10","ROCKFALL"
"166.92","24","ROCKFALL"
"60.28","5","ROCKFALL"
"82.04","5","ROCKFALL"
"92.2","6","ROCKFALL"
"51.4","4","ROCKFALL"
"262.8","6","ROCKFALL"
"78.32","6","ROCKFALL"
"74.84","5","ROCKFALL"
"90.92","7","ROCKFALL"
"87.96","4","ROCKFALL"
"9.12","4","MP"
"110.48","5","ROCKFALL"
"7.64","3","MP"
"90.28","3","ROCKFALL"
"39.68","3","ROCKFALL"
"99.96","4","ROCKFALL"
"80.92","4","ROCKFALL"
"139.88","5","ROCKFALL"
"99.16","14","ROCKFALL"
"193.28","7","ROCKFALL"
"139.68","15","ROCKFALL"
"140.48","6","ROCKFALL"
"94.08","3","ROCKFALL"
"85.76","5","ROCKFALL"
"78.08","4","ROCKFALL"
"15.6","3","ROCKFALL"
"115.44","4","ROCKFALL"
"94.44","4","ROCKFALL"
"96.84","3","ROCKFALL"
"71.72","5","ROCKFALL"
"218.56","4","ROCKFALL"
"99.72","5","ROCKFALL"
"81.72","4","ROCKFALL"
"20.4","7","ROCKFALL"
"60.36","5","ROCKFALL"
"127.24","5","ROCKFALL"
"45.04","3","ROCKFALL"
"49.28","3","ROCKFALL"
"5.72","3","MP"
"146.12","5","ROCKFALL"
"151.56","13","ROCKFALL"
"88.4","9","ROCKFALL"
"82.44","19","ROCKFALL"
"70.32","3","ROCKFALL"
"65.24","4","ROCKFALL"
"25.4","5","ROCKFALL"
"80.8","3","ROCKFALL"
"79.8","10","ROCKFALL"
"28.8","3","ROCKFALL"
"57.04","3","ROCKFALL"
"112.52","5","ROCKFALL"
"10.56","3","ROCKFALL"
"116.28","7","ROCKFALL"
"123.12","5","ROCKFALL"
"104.84","4","ROCKFALL"
"130.96","6","ROCKFALL"
"83.84","5","ROCKFALL"
"102.28","6","ROCKFALL"
"106.04","6","ROCKFALL"
"103.08","3","TECT"
"256.76","5","TECT"
"276.12","3","TECT"
"90.72","6","ROCKFALL"
"115.2","9","ROCKFALL"
"77.76","4","ROCKFALL"
